# rawpaco: FPC RTL/FCL symbol table
# DO NOT EDIT BY HAND. Regenerate with: bash tools/gen_fpc_symbols.sh
# fpc-version: 3.2.2
# generated-from-target: x86_64-linux
# ppu-root: /usr/lib/x86_64-linux-gnu/fpc/3.2.2/units/x86_64-linux
# source-root: /usr/share/fpcsrc/3.2.2
#
# Format (tab separated):
#   U <unit> <strict|loose>   ... start of a unit block
#   G <name> <D|.> <message>  ... unit-level public symbol (D = deprecated)
#   M <name>                  ... other known name (class member, platform-only, ...)
U	system	loose
G	fpc_in_pi_real	.	
G	fpc_in_popcnt_x	.	
G	fpc_in_pred_x	.	
G	fpc_in_prefetch_var	.	
G	fpc_in_read_x	.	
G	fpc_in_readln_x	.	
G	fpc_in_readstr_x	.	
G	fpc_in_reset_typedfile	.	
G	fpc_in_reset_typedfile_name	.	
G	fpc_in_reset_x	.	
G	fpc_in_rewrite_typedfile	.	
G	fpc_in_rewrite_typedfile_name	.	
G	fpc_in_rewrite_x	.	
G	fpc_in_rol_assign_x_y	.	
G	fpc_in_rol_x	.	
G	fpc_in_rol_x_x	.	
G	fpc_in_ror_assign_x_y	.	
G	fpc_in_ror_x	.	
G	fpc_in_ror_x_x	.	
G	fpc_in_round_real	.	
G	fpc_in_sar_assign_x_y	.	
G	fpc_in_sar_x	.	
G	fpc_in_sar_x_y	.	
G	fpc_in_seg_x	.	
G	fpc_in_setlength_x	.	
G	fpc_in_setstring_x_y_z	.	
G	fpc_in_settextbuf_file_x	.	
G	fpc_in_shl_assign_x_y	.	
G	fpc_in_shr_assign_x_y	.	
G	fpc_in_sin_real	.	
G	fpc_in_sizeof_x	.	
G	fpc_in_slice	.	
G	fpc_in_sqr_real	.	
G	fpc_in_sqrt_real	.	
G	fpc_in_str_x_string	.	
G	fpc_in_succ_x	.	
G	fpc_in_trunc_real	.	
G	fpc_in_typeinfo_x	.	
G	fpc_in_typeof_x	.	
G	fpc_in_unbox_x_y	.	
G	fpc_in_unpack_x_y_z	.	
G	fpc_in_val_x	.	
G	fpc_in_write_x	.	
G	fpc_in_writeln_x	.	
G	fpc_in_writestr_x	.	
G	fpc_in_x86_cli	.	
G	fpc_in_x86_get_cs	.	
G	fpc_in_x86_get_ds	.	
G	fpc_in_x86_get_es	.	
G	fpc_in_x86_get_fs	.	
G	fpc_in_x86_get_gs	.	
